[2019-11-07 14:16:41,509 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 14:16:41,510 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 14:16:41,518 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 14:16:41,524 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 14:16:41,532 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 14:32:52,103 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 14:32:52,103 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 14:32:52
[2019-11-07 14:32:52,324 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 14:32:52,324 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 14:32:52,332 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 14:32:52,333 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 14:32:52,343 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 10:22:06,073 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 10:22:06,073 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 10:22:06
[2019-11-08 10:22:06,197 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 10:22:06,197 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-08 10:22:06,204 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 10:22:06,206 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 10:22:06,207 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 10:22:11,907 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 10:22:11,907 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 10:22:11
[2019-11-08 10:22:12,015 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 10:22:12,015 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-08 10:22:12,022 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 10:22:12,023 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 10:22:12,024 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 11:23:20,287 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 11:23:20,287 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 11:23:20
[2019-11-08 11:23:20,487 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 11:23:20,488 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-08 11:23:20,496 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 11:23:20,498 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 11:23:20,499 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 11:33:38,772 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 11:33:38,772 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 11:33:38
[2019-11-08 11:33:38,878 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 11:33:38,879 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-08 11:33:38,884 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 11:33:38,890 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 11:33:38,891 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 11:35:29,219 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 11:35:29,219 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 11:35:29
[2019-11-08 11:35:29,328 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 11:35:29,329 | LV:DEBUG | mysql.py:91 ] [  Successfully Load DB Query  ]
[2019-11-08 11:35:29,336 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 11:35:29,337 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 11:35:29,339 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 11:37:22,475 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 11:37:22,476 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 11:37:22
[2019-11-08 11:37:22,584 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 11:37:22,585 | LV:DEBUG | mysql.py:91 ] [  Successfully Load DB Query  ]
[2019-11-08 11:37:22,591 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 11:37:22,593 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 11:37:22,594 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 11:52:57,005 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 11:52:57,006 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 11:52:57
[2019-11-08 11:52:57,114 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 11:52:57,114 | LV:DEBUG | mysql.py:91 ] [  Successfully Load DB Query  ]
[2019-11-08 11:52:57,121 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 11:52:57,123 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 11:52:57,123 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 11:53:39,340 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 11:53:39,340 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 11:53:39
[2019-11-08 11:53:39,448 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 11:53:39,448 | LV:DEBUG | mysql.py:91 ] [  Successfully Load DB Query  ]
[2019-11-08 11:53:39,455 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 11:53:39,456 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 11:53:39,457 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 11:56:11,019 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 11:56:11,019 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 11:56:11
[2019-11-08 11:56:11,129 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 11:56:11,130 | LV:DEBUG | mysql.py:91 ] [  Successfully Load DB Query  ]
[2019-11-08 11:56:11,137 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 11:56:11,138 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 11:56:11,139 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 13:48:07,366 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 13:48:07,366 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 13:48:07
[2019-11-08 13:48:18,719 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 13:48:18,719 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 13:48:18
[2019-11-08 13:48:18,828 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 13:48:18,829 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-08 13:48:18,835 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 13:48:18,836 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 13:48:18,837 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 14:07:38,883 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 14:07:38,884 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 14:07:38
[2019-11-08 14:07:38,994 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-08 14:07:38,995 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-08 14:07:39,002 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-08 14:07:39,004 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-08 14:07:39,005 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-08 14:09:50,654 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-08 14:09:50,654 | LV:DEBUG | logAgent.py:39 ] 2019-11-08 14:09:50
